"","ny_grk","gammel_grk","fra_aar","til_aar"
"1",NA,"03010100","2020-01-01","2025-01-01"
"2","03010100","03010101","2020-01-01","2025-01-01"
"3","03010100","03010102","2020-01-01","2025-01-01"
"4","03010100","03010103","2020-01-01","2025-01-01"
"5","03010100","03010104","2020-01-01","2025-01-01"
"6","03010100","03010105","2020-01-01","2025-01-01"
"7",NA,"03010200","2020-01-01","2025-01-01"
"8","03010200","03010201","2020-01-01","2025-01-01"
"9","03010200","03010202","2020-01-01","2025-01-01"
"10","03010200","03010204","2020-01-01","2025-01-01"
"11","03010200","03010205","2020-01-01","2025-01-01"
"12","03010200","03010206","2020-01-01","2025-01-01"
"13","03010200","03010207","2020-01-01","2025-01-01"
"14","03010200","03010208","2020-01-01","2025-01-01"
"15","03010200","03010209","2020-01-01","2025-01-01"
"16","03010200","03010210","2020-01-01","2025-01-01"
"17","03010200","03010211","2020-01-01","2025-01-01"
"18","03010200","03010212","2020-01-01","2025-01-01"
"19","03010200","03010213","2020-01-01","2025-01-01"
"20",NA,"03010300","2020-01-01","2025-01-01"
"21","03010300","03010301","2020-01-01","2025-01-01"
"22","03010300","03010302","2020-01-01","2025-01-01"
"23","03010300","03010303","2020-01-01","2025-01-01"
"24","03010300","03010304","2020-01-01","2025-01-01"
"25","03010300","03010305","2020-01-01","2025-01-01"
"26","03010300","03010306","2020-01-01","2025-01-01"
"27","03010300","03010307","2020-01-01","2025-01-01"
"28","03010300","03010308","2020-01-01","2025-01-01"
"29","03010300","03010309","2020-01-01","2025-01-01"
"30","03010300","03010310","2020-01-01","2025-01-01"
"31",NA,"03010400","2020-01-01","2025-01-01"
"32","03010400","03010401","2020-01-01","2025-01-01"
"33",NA,"03010500","2020-01-01","2025-01-01"
"34","03010500","03010501","2020-01-01","2025-01-01"
"35","03010500","03010502","2020-01-01","2025-01-01"
"36","03010500","03010503","2020-01-01","2025-01-01"
"37","03010500","03010504","2020-01-01","2025-01-01"
"38",NA,"03010600","2020-01-01","2025-01-01"
"39","03010600","03010601","2020-01-01","2025-01-01"
"40","03010600","03010602","2020-01-01","2025-01-01"
"41","03010600","03010603","2020-01-01","2025-01-01"
"42","03010600","03010604","2020-01-01","2025-01-01"
"43","03010600","03010605","2020-01-01","2025-01-01"
"44","03010600","03010606","2020-01-01","2025-01-01"
"45","03010600","03010607","2020-01-01","2025-01-01"
"46","03010600","03010608","2020-01-01","2025-01-01"
"47","03010600","03010609","2020-01-01","2025-01-01"
"48","03010600","03010610","2020-01-01","2025-01-01"
"49","03010600","03010611","2020-01-01","2025-01-01"
"50","03010600","03010612","2020-01-01","2025-01-01"
"51","03010600","03010613","2020-01-01","2025-01-01"
"52","03010600","03010614","2020-01-01","2025-01-01"
"53",NA,"03010700","2020-01-01","2025-01-01"
"54","03010700","03010701","2020-01-01","2025-01-01"
"55","03010700","03010702","2020-01-01","2025-01-01"
"56","03010700","03010703","2020-01-01","2025-01-01"
"57","03010700","03010704","2020-01-01","2025-01-01"
"58","03010700","03010705","2020-01-01","2025-01-01"
"59","03010700","03010706","2020-01-01","2025-01-01"
"60","03010700","03010707","2020-01-01","2025-01-01"
"61","03010700","03010708","2020-01-01","2025-01-01"
"62","03010700","03010709","2020-01-01","2025-01-01"
"63","03010700","03010710","2020-01-01","2025-01-01"
"64",NA,"03010800","2020-01-01","2025-01-01"
"65","03010800","03010801","2020-01-01","2025-01-01"
"66","03010800","03010802","2020-01-01","2025-01-01"
"67","03010800","03010803","2020-01-01","2025-01-01"
"68","03010800","03010804","2020-01-01","2025-01-01"
"69","03010800","03010805","2020-01-01","2025-01-01"
"70","03010800","03010806","2020-01-01","2025-01-01"
"71","03010800","03010807","2020-01-01","2025-01-01"
"72","03010800","03010808","2020-01-01","2025-01-01"
"73","03010800","03010809","2020-01-01","2025-01-01"
"74",NA,"03010900","2020-01-01","2025-01-01"
"75","03010900","03010901","2020-01-01","2025-01-01"
"76","03010900","03010902","2020-01-01","2025-01-01"
"77","03010900","03010903","2020-01-01","2025-01-01"
