gammel_grk;siste
010101;310101
010101;310102
010102;310102
010103;310103
010104;310104
010105;310105
010106;310106
010107;310107
010108;310108
010401;310301
010402;310302
010403;310303
010404;310304
010405;310305
010406;310306
010407;310307
010408;310308
010409;310309
010501;310501
010502;310502
010503;310503
010511;310511
010512;310512
010513;310513
010514;310514
010521;310521
010522;310522
010523;310523
010524;310524
010525;310525
010531;310531
010611;310711
010612;310712
010613;310713
010614;310714
010615;310715
010616;310716
010617;310717
010618;310718
010619;310719
010620;310720
010631;310731
010632;310732
010633;310733
010641;310741
010642;310742
010643;310743
010651;310751
010652;310752
010653;310753
010654;310754
010655;310755
010661;310761
010662;310762
010663;310763
010664;310764
011101;311001
011102;311002
011801;312401
011901;312201
011902;312202
012101;322606
012201;311815
012202;311816
012203;311817
012301;311811
012401;311801
012402;311802
012403;311803
012404;311804
012405;311805
012501;311806
012502;311807
012503;311808
012504;311809
012505;311810
012701;311601
012801;312001
012802;312002
013501;311201
013502;311202
013503;311203
013601;310310
013602;310311
013603;310312
013701;311401
013801;311812
013802;311813
013803;311814
021101;321601
021102;321602
021301;320701
021302;320702
021303;320703
021304;320704
021305;320705
021306;320706
021401;321801
021402;321802
021403;321803
021501;321401
021502;321402
021503;321403
021601;321201
021602;321202
021603;321203
021604;321204
021605;321205
021606;321206
021701;320707
021702;320708
021703;320709
021704;320710
021705;320711
021901;320101
021902;320102
021903;320103
021904;320104
021905;320105
021906;320106
021907;320107
021908;320108
021909;320109
021910;320110
021911;320111
021912;320112
021913;320113
021914;320114
021915;320115
021916;320116
021917;320117
021918;320118
021919;320119
021920;320120
021921;320121
021922;320122
022001;320301
022002;320302
022003;320303
022004;320304
022005;320305
022006;320306
022007;320307
022008;320308
022009;320309
022010;320310
022011;320311
022012;320312
022013;320313
022014;320314
022015;320315
022016;320316
022101;322601
022102;322602
022103;322603
022104;322604
022105;322605
022601;322805
022601;320513
022602;320514
022603;320515
022604;320516
022701;320517
022702;320518
022703;320519
022801;322401
022802;322402
022803;322403
022804;322404
022805;322405
022901;322001
022902;322002
022903;322003
023001;322201
023002;322202
023003;322203
023004;322204
023005;322205
023006;322206
023101;320501
023102;320502
023103;320503
023104;320504
023105;320505
023106;320506
023107;320507
023108;320508
023109;320509
023110;320510
023111;320511
023112;320512
023301;323201
023302;323202
023303;323203
023304;323204
023305;323205
023401;323001
023501;320901
023502;320902
023503;320903
023504;320904
023505;320905
023506;320906
023507;320907
023508;320908
023601;322801
023602;322802
023603;322803
023604;322804
023605;322805
023701;324001
023702;324002
023703;324003
023704;324004
023705;324005
023706;324006
023707;324007
023708;324008
023801;323801
