gammel_grk;siste
03010101;03010100
03010102;03010100
03010103;03010100
03010104;03010100
03010105;03010100
03010201;03010200
03010202;03010200
03010204;03010200
03010205;03010200
03010206;03010200
03010207;03010200
03010208;03010200
03010209;03010200
03010210;03010200
03010211;03010200
03010212;03010200
03010213;03010200
03010301;03010300
03010302;03010300
03010303;03010300
03010304;03010300
03010305;03010300
03010306;03010300
03010307;03010300
03010308;03010300
03010309;03010300
03010310;03010300
03010401;03010400
03010501;03010500
03010502;03010500
03010503;03010500
03010504;03010500
03010601;03010600
03010602;03010600
03010603;03010600
03010604;03010600
03010605;03010600
03010606;03010600
03010607;03010600
03010608;03010600
03010609;03010600
03010610;03010600
03010611;03010600
03010612;03010600
03010613;03010600
03010614;03010600
03010701;03010700
03010702;03010700
03010703;03010700
03010704;03010700
03010705;03010700
03010706;03010700
03010707;03010700
03010708;03010700
03010709;03010700
03010710;03010700
03010801;03010800
03010802;03010800
03010803;03010800
03010804;03010800
03010805;03010800
03010806;03010800
03010807;03010800
03010808;03010800
03010809;03010800
03010901;03010900
03010902;03010900
03010903;03010900
03010904;03010900
03010905;03010900
03010906;03010900
03010907;03010900
03010908;03010900
03010909;03010900
03010910;03010900
03010911;03010900
03010912;03010900
03010913;03010900
03011001;03011000
03011101;03011100
03011102;03011100
03011103;03011100
03011104;03011100
03011105;03011100
03011106;03011100
03011201;03011200
03011202;03011200
03011203;03011200
03011204;03011200
03011205;03011200
03011206;03011200
03011207;03011200
03011208;03011200
03011209;03011200
03011210;03011200
03011211;03011200
03011301;03011300
03011302;03011300
03011303;03011300
03011304;03011300
03011305;03011300
03011401;03011400
03011402;03011400
03011403;03011400
03011404;03011400
03011405;03011400
03011406;03011400
03011501;03011500
03011502;03011500
03011503;03011500
03011504;03011500
03011601;03011600
03011602;03011600
03011603;03011600
03011604;03011600
03011605;03011600
03011606;03011600
03011607;03011600
03011701;03011700
03011702;03011700
03011703;03011700
03011704;03011700
03011705;03011700
03011706;03011700
03011707;03011700
03011708;03011700
03011709;03011700
03011801;03011800
03011803;03011800
03011804;03011800
03011901;03011900
03011902;03011900
03011903;03011900
03011904;03011900
03011906;03011900
03011907;03011900
03011908;03011900
03011909;03011900
03011910;03011900
03012001;03012000
03012002;03012000
03012003;03012000
03012004;03012000
03012005;03012000
03012006;03012000
03012007;03012000
03012008;03012000
03012009;03012000
03012010;03012000
03012011;03012000
03012012;03012000
03012101;03012100
03012102;03012100
03012103;03012100
03012104;03012100
03012105;03012100
03012106;03012100
03012107;03012100
03012108;03012100
03012109;03012100
03012201;03012200
03012202;03012200
03012203;03012200
03012204;03012200
03012205;03012200
03012206;03012200
03012207;03012200
03012208;03012200
03012209;03012200
03012301;03012300
03012302;03012300
03012303;03012300
03012304;03012300
03012305;03012300
03012306;03012300
03012307;03012300
03012308;03012300
03012309;03012300
03012310;03012300
03012311;03012300
03012312;03012300
03012313;03012300
03012401;03012400
03012402;03012400
03012403;03012400
03012404;03012400
03012405;03012400
03012406;03012400
03012407;03012400
03012408;03012400
03012409;03012400
03012410;03012400
03012502;03012500
03012503;03012500
03012504;03012500
03012505;03012500
03012506;03012500
03012507;03012500
03012508;03012500
03012509;03012500
03012601;03012600
03012602;03012600
03012603;03012600
03012604;03012600
03012605;03012600
03012606;03012600
03012607;03012600
03012608;03012600
03012609;03012600
03012610;03012600
03012701;03012700
03012702;03012700
03012703;03012700
03012704;03012700
03012705;03012700
03012706;03012700
03012801;03012800
03012802;03012800
03012803;03012800
03012804;03012800
03012805;03012800
03012902;03012900
03012903;03012900
03013001;03013000
03013002;03013000
03013003;03013000
03013004;03013000
03013005;03013000
03013006;03013000
03013007;03013000
03013008;03013000
03013009;03013000
03013010;03013000
03013011;03013000
03013012;03013000
03013101;03013100
03013102;03013100
03013104;03013100
03013105;03013100
03013106;03013100
03013107;03013100
03013108;03013100
03013109;03013100
03013201;03013200
03013202;03013200
03013203;03013200
03013204;03013200
03013205;03013200
03013206;03013200
03013207;03013200
03013208;03013200
03013209;03013200
03013210;03013200
03013211;03013200
03013212;03013200
03013213;03013200
03013214;03013200
03013215;03013200
03013301;03013300
03013302;03013300
03013303;03013300
03013304;03013300
03013305;03013300
03013306;03013300
03013307;03013300
03013308;03013300
03013311;03013300
03013312;03013300
03013313;03013300
03013314;03013300
03013315;03013300
03013316;03013300
03013318;03013300
03013319;03013300
03013320;03013300
03013321;03013300
03013322;03013300
03013323;03013300
03013324;03013300
03013325;03013300
03013401;03013400
03013402;03013400
03013403;03013400
03013404;03013400
03013405;03013400
03013406;03013400
03013407;03013400
03013409;03013400
03013411;03013400
03013412;03013400
03013413;03013400
03013414;03013400
03013415;03013400
03013416;03013400
03013417;03013400
03013418;03013400
03013419;03013400
03013420;03013400
03013421;03013400
03013422;03013400
03013423;03013400
03013502;03013500
03013503;03013500
03013504;03013500
03013505;03013500
03013506;03013500
03013507;03013500
03013508;03013500
03013509;03013500
03013510;03013500
03013511;03013500
03013512;03013500
03013513;03013500
03013514;03013500
03013515;03013500
03013516;03013500
03013517;03013500
03013601;03013600
03013602;03013600
03013603;03013600
03013604;03013600
03013605;03013600
03013607;03013600
03013609;03013600
03013610;03013600
03013611;03013600
03013612;03013600
03013613;03013600
03013614;03013600
03013616;03013600
03013617;03013600
03013618;03013600
03013619;03013600
03013620;03013600
03013621;03013600
03013622;03013600
03013623;03013600
03013624;03013600
03013701;03013700
03013702;03013700
03013703;03013700
03013704;03013700
03013705;03013700
03013706;03013700
03013707;03013700
03013708;03013700
03013709;03013700
03013710;03013700
03013711;03013700
03013712;03013700
03013713;03013700
03013714;03013700
03013715;03013700
03013716;03013700
03013717;03013700
03013718;03013700
03013719;03013700
03013720;03013700
03013721;03013700
03013801;03013800
03013802;03013800
03013803;03013800
03013804;03013800
03013805;03013800
03013806;03013800
03013807;03013800
03013808;03013800
03013809;03013800
03013810;03013800
03013811;03013800
03013812;03013800
03013813;03013800
03013814;03013800
03013815;03013800
03013816;03013800
03013817;03013800
03013818;03013800
03013819;03013800
03013820;03013800
03013821;03013800
03013901;03013900
03013902;03013900
03013903;03013900
03013904;03013900
03013905;03013900
03013906;03013900
03013907;03013900
03013908;03013900
03013909;03013900
03013910;03013900
03013911;03013900
03013912;03013900
03013913;03013900
03013914;03013900
03013915;03013900
03013916;03013900
03013917;03013900
03013918;03013900
03013919;03013900
03013920;03013900
03013921;03013900
03013922;03013900
03013923;03013900
03014001;03014000
03014002;03014000
03014003;03014000
03014004;03014000
03014005;03014000
03014006;03014000
03014007;03014000
03014008;03014000
03014009;03014000
03014010;03014000
03014011;03014000
03014012;03014000
03014013;03014000
03014014;03014000
03014015;03014000
03014016;03014000
03014017;03014000
03014018;03014000
03014101;03014100
03014102;03014100
03014103;03014100
03014104;03014100
03014105;03014100
03014107;03014100
03014108;03014100
03014109;03014100
03014111;03014100
03014112;03014100
03014113;03014100
03014114;03014100
03014115;03014100
03014116;03014100
03014117;03014100
03014118;03014100
03014119;03014100
03014120;03014100
03014121;03014100
03014122;03014100
03014123;03014100
03014124;03014100
03014125;03014100
03014126;03014100
03014202;03014200
03014203;03014200
03014204;03014200
03014205;03014200
03014206;03014200
03014207;03014200
03014208;03014200
03014209;03014200
03014210;03014200
03014211;03014200
03014212;03014200
03014213;03014200
03014214;03014200
03014301;03014300
03014304;03014300
03014306;03014300
03014307;03014300
03014308;03014300
03014309;03014300
03014310;03014300
03014311;03014300
03014312;03014300
03014313;03014300
03014314;03014300
03014315;03014300
03014401;03014400
03014402;03014400
03014403;03014400
03014405;03014400
03014406;03014400
03014407;03014400
03014408;03014400
03014409;03014400
03014410;03014400
03014411;03014400
03014412;03014400
03014413;03014400
03014414;03014400
03014415;03014400
03014416;03014400
03014417;03014400
03014418;03014400
03014419;03014400
03014420;03014400
03014501;03014500
03014502;03014500
03014503;03014500
03014504;03014500
03014505;03014500
03014506;03014500
03014507;03014500
03014508;03014500
03014509;03014500
03014510;03014500
03014511;03014500
03014512;03014500
03014513;03014500
03014601;03014600
03014602;03014600
03014603;03014600
03014604;03014600
03014605;03014600
03014606;03014600
03014607;03014600
03014608;03014600
03014609;03014600
03014610;03014600
03014611;03014600
03014701;03014700
03014702;03014700
03014703;03014700
03014704;03014700
03014705;03014700
03014706;03014700
03014801;03014800
03014802;03014800
03014803;03014800
03014804;03014800
03014805;03014800
03014806;03014800
03014901;03014900
03014902;03014900
03014903;03014900
03014904;03014900
03014905;03014900
03014906;03014900
03014907;03014900
03014908;03014900
03014909;03014900
03014910;03014900
03014911;03014900
03014912;03014900
03015001;03015000
03015002;03015000
03015003;03015000
03015004;03015000
03015005;03015000
03015006;03015000
03015007;03015000
03015008;03015000
03015101;03015100
03015102;03015100
03015103;03015100
03015201;03015200
03015202;03015200
03015203;03015200
03015204;03015200
03015206;03015200
03015207;03015200
03015208;03015200
03015209;03015200
03015210;03015200
03015211;03015200
03015212;03015200
03015301;03015300
03015302;03015300
03015303;03015300
03015401;03015400
03015402;03015400
03015403;03015400
03015405;03015400
03015406;03015400
03015407;03015400
03015408;03015400
03015501;03015500
03015502;03015500
03015503;03015500
03015504;03015500
03015601;03015600
03015602;03015600
03015603;03015600
03015701;03015700
03015801;03015800
03015802;03015800
03015803;03015800
03015804;03015800
03015805;03015800
03015901;03015900
03015902;03015900
03016001;03016000
03016002;03016000
03016003;03016000
03016004;03016000
03016005;03016000
03016006;03016000
03016007;03016000
03019999;03019900
11010101;11010100
11010102;11010100
11010103;11010100
11010104;11010100
11010105;11010100
11010201;11010200
11010202;11010200
11010203;11010200
11010204;11010200
11010301;11010300
11010302;11010300
11010303;11010300
11010304;11010300
11010305;11010300
11010306;11010300
11010401;11010400
11010402;11010400
11010403;11010400
11010404;11010400
11010405;11010400
11010406;11010400
11010407;11010400
11010408;11010400
11010409;11010400
11010501;11010500
11010502;11010500
11010503;11010500
11010504;11010500
11010505;11010500
11010601;11010600
11010602;11010600
11010603;11010600
11010604;11010600
11010605;11010600
11010606;11010600
11010607;11010600
11010608;11010600
11019999;11019900
11030101;11030100
11030102;11030100
11030104;11030100
11030105;11030100
11030201;11030200
11030202;11030200
11030203;11030200
11030205;11030200
11030206;11030200
11030207;11030200
11030302;11030300
11030303;11030300
11030304;11030300
11030305;11030300
11030401;11030400
11030402;11030400
11030405;11030400
11030406;11030400
11030407;11030400
11030408;11030400
11030409;11030400
11030501;11030500
11030502;11030500
11030503;11030500
11030504;11030500
11030506;11030500
11030507;11030500
11030509;11030500
11030510;11030500
11030511;11030500
11030512;11030500
11030601;11030600
11030602;11030600
11030603;11030600
11030604;11030600
11030606;11030600
11030607;11030600
11030608;11030600
11030611;11030600
11030612;11030600
11030613;11030600
11030614;11030600
11030615;11030600
11030616;11030600
11030701;11030700
11030702;11030700
11030704;11030700
11030705;11030700
11030706;11030700
11030707;11030700
11030708;11030700
11030709;11030700
11030710;11030700
11030711;11030700
11030712;11030700
11030801;11030800
11030802;11030800
11030803;11030800
11030804;11030800
11030805;11030800
11030806;11030800
11030807;11030800
11030901;11030900
11030905;11030900
11030906;11030900
11030907;11030900
11030909;11030900
11030910;11030900
11030911;11030900
11030912;11030900
11030913;11030900
11030914;11030900
11030915;11030900
11030916;11030900
11031001;11031000
11031002;11031000
11031003;11031000
11031004;11031000
11031005;11031000
11031006;11031000
11031007;11031000
11031008;11031000
11031009;11031000
11031010;11031000
11031011;11031000
11031012;11031000
11031013;11031000
11031014;11031000
11031015;11031000
11031016;11031000
11031017;11031000
11031018;11031000
11031019;11031000
11031101;11031100
11031102;11031100
11031104;11031100
11031105;11031100
11031106;11031100
11031205;11031200
11031206;11031200
11031207;11031200
11031208;11031200
11031209;11031200
11031210;11031200
11031211;11031200
11031214;11031200
11031215;11031200
11031216;11031200
11031217;11031200
11031218;11031200
11031219;11031200
11031220;11031200
11031221;11031200
11031222;11031200
11031223;11031200
11031224;11031200
11031225;11031200
11031226;11031200
11031301;11031300
11031302;11031300
11031303;11031300
11031304;11031300
11031401;11031400
11031402;11031400
11031403;11031400
11031404;11031400
11031405;11031400
11031406;11031400
11031701;11031700
11031712;11031700
11031713;11031700
11031714;11031700
11031715;11031700
11031716;11031700
11031717;11031700
11031718;11031700
11031719;11031700
11031722;11031700
11031723;11031700
11031724;11031700
11031725;11031700
11031726;11031700
11031727;11031700
11031728;11031700
11031729;11031700
11031730;11031700
11031731;11031700
11031733;11031700
11031734;11031700
11031735;11031700
11031736;11031700
11031737;11031700
11031738;11031700
11031739;11031700
11031740;11031700
11031741;11031700
11031742;11031700
11031743;11031700
11031744;11031700
11031802;11031800
11031803;11031800
11031806;11031800
11031807;11031800
11031809;11031800
11031810;11031800
11031811;11031800
11031813;11031800
11031814;11031800
11031815;11031800
11031816;11031800
11031902;11031900
11031903;11031900
11031904;11031900
11031905;11031900
11031906;11031900
11031907;11031900
11032001;11032000
11032004;11032000
11032005;11032000
11032007;11032000
11032008;11032000
11032009;11032000
11032010;11032000
11032011;11032000
11032012;11032000
11032101;11032100
11032102;11032100
11032104;11032100
11032105;11032100
11032202;11032200
11032203;11032200
11032204;11032200
11032205;11032200
11032206;11032200
11032207;11032200
11032208;11032200
11032302;11032300
11032304;11032300
11032305;11032300
11032306;11032300
11032307;11032300
11032308;11032300
11032309;11032300
11032310;11032300
11032401;11032400
11032402;11032400
11032403;11032400
11032404;11032400
11032504;11032500
11032505;11032500
11032506;11032500
11032508;11032500
11032509;11032500
11032510;11032500
11032511;11032500
11032512;11032500
11032513;11032500
11032514;11032500
11032515;11032500
11032603;11032600
11032605;11032600
11032606;11032600
11032607;11032600
11032608;11032600
11032609;11032600
11032610;11032600
11032703;11032700
