gammel_kom;siste
0101;3101
0104;3103
0105;3105
0106;3107
0111;3110
0118;3124
0119;3122
0121;3226
0122;3118
0123;3118
0124;3118
0125;3118
0127;3116
0128;3120
0135;3112
0136;3103
0137;3114
0138;3118
0211;3216
0213;3207
0214;3218
0215;3214
0216;3212
0217;3207
0219;3201
0220;3203
0221;3226
0226;3205
0227;3205
0228;3224
0229;3220
0230;3222
0231;3205
0233;3232
0234;3230
0235;3209
0236;3228
0237;3240
0238;3238
0239;3242
0402;3401
0403;3403
0412;3411
0415;3412
0417;3413
0418;3414
0419;3415
0420;3416
0423;3417
0425;3418
0426;3419
0427;3420
0428;3421
0429;3422
0430;3423
0432;3424
0434;3425
0436;3426
0437;3427
0438;3428
0439;3429
0441;3430
0501;3405
0502;3407
0511;3431
0512;3432
0513;3433
0514;3434
0515;3435
0516;3436
0517;3437
0519;3438
0520;3439
0521;3440
0522;3441
0528;3442
0529;3443
0532;3236
0533;3234
0534;3446
0536;3447
0538;3448
0540;3449
0541;3450
0542;3451
0543;3452
0544;3453
0545;3454
0602;3301
0604;3303
0605;3305
0612;3310
0615;3320
0616;3322
0617;3324
0618;3326
0619;3328
0620;3330
0621;3332
0622;3318
0623;3316
0624;3314
0625;3301
0626;3312
0627;3203
0628;3203
0631;3334
0632;3336
0633;3338
0701;3901
0702;3903
0704;3905
0706;3907
0709;3909
0710;3907
0711;3301
0712;3909
0713;3903
0714;3903
0715;3903
0716;3905
0718;3905
0719;3907
0720;3905
0722;3911
0723;3911
0728;3909
0729;3911
0805;4001
0806;4003
0807;4005
0811;4010
0814;4012
0815;4014
0817;4016
0819;4018
0821;4020
0822;4020
0826;4026
0827;4024
0828;4022
0829;4028
0830;4030
0831;4032
0833;4034
0834;4036
0901;4201
0904;4202
0906;4203
0911;4211
0912;4212
0914;4213
0919;4214
0926;4215
0928;4216
0929;4217
0935;4218
0937;4219
0938;4220
0940;4221
0941;4222
1001;4204
1002;4205
1003;4206
1004;4207
1014;4223
1017;4204
1018;4204
1021;4205
1026;4224
1027;4225
1029;4205
1032;4225
1034;4226
1037;4227
1046;4228
1102;1108
1129;1108
1141;1103
1142;1103
1154;1160
1159;1160
1201;4601
1211;4611
1214;1160
1216;4612
1219;4613
1221;4614
1222;4615
1223;4616
1224;4617
1227;4618
1228;4618
1231;4618
1232;4619
1233;4620
1234;4621
1235;4621
1238;4622
1241;4624
1242;4623
1243;4624
1244;4625
1245;4626
1246;4626
1247;4627
1251;4628
1252;4629
1253;4630
1256;4631
1259;4626
1260;4631
1263;4631
1264;4632
1265;4633
1266;4634
1401;4602
1411;4635
1412;4636
1413;4637
1416;4638
1417;4639
1418;4640
1419;4640
1420;4640
1421;4641
1422;4642
1424;4643
1426;4644
1428;4645
1429;4646
1430;4647
1431;4647
1432;4647
1433;4647
1438;4648
1439;4602
1441;4649
1443;4649
1444;1577
1445;4650
1449;4651
1502;1506
1503;1505
1504;1508
1507;1508
1519;1577
1523;1508
1524;1578
1526;1578
1529;1508
1534;1508
1543;1506
1545;1506
1546;1508
1548;1579
1551;1579
1556;1505
1567;5061
1569;1576
1571;5055
1572;1576
1601;5001
1612;5055
1613;5059
1617;5056
1620;5014
1621;5057
1622;5059
1624;5054
1627;5057
1630;5058
1632;5058
1633;5020
1634;5021
1635;5022
1636;5059
1638;5059
