"";"styrk98";"styrk08"
"1";"0111101";"0310"
"2";"0111102";"0310"
"3";"0111103";"0310"
"4";"0111104";"0310"
"5";"0112101";"0210"
"6";"0112102";"0110"
"7";"0112103";"0110"
"8";"0112104";"0110"
"9";"0112105";"0110"
"10";"0112107";"0110"
"11";"0112108";"0210"
"12";"0112109";"0210"
"13";"0112110";"0210"
"14";"0112111";"0210"
"15";"0112112";"0210"
"16";"0112113";"0210"
"17";"0112114";"0210"
"18";"0112115";"0210"
"19";"0112116";"0210"
"20";"0112117";"0210"
"21";"0112118";"0210"
"22";"0113101";"0110"
"23";"0113102";"0110"
"24";"0113103";"0110"
"25";"0113104";"0110"
"26";"0113105";"0110"
"27";"0113106";"0110"
"28";"0113107";"0110"
"29";"0113108";"0110"
"30";"0113109";"0110"
"31";"0113110";"0110"
"32";"0113111";"0110"
"33";"0113112";"0110"
"34";"0113113";"0110"
"35";"0113114";"0110"
"36";"0113115";"0110"
"37";"0113116";"0110"
"38";"0113117";"0110"
"39";"0113118";"0110"
"40";"0113119";"0110"
"41";"0113120";"0110"
"42";"0113121";"0110"
"43";"0113122";"0110"
"44";"0113123";"0110"
"45";"0113124";"0110"
"46";"0113125";"0110"
"47";"0113126";"0110"
"48";"1110101";"1111"
"49";"1110102";"1111"
"50";"1110103";"1111"
"51";"1110104";"1111"
"52";"1110105";"1111"
"53";"1110106";"1111"
"54";"1110107";"1111"
"55";"1110108";"1111"
"56";"1110109";"1111"
"57";"1110110";"1111"
"58";"1110111";"1111"
"59";"1110112";"1111"
"60";"1110113";"1111"
"61";"1110114";"1111"
"62";"1110115";"1111"
"63";"1110116";"1111"
"64";"1110117";"1111"
"65";"1110118";"1111"
"66";"1110119";"1111"
"67";"1110120";"1111"
"68";"1110121";"1111"
"69";"1110122";"1111"
"70";"1110123";"1111"
"71";"1110124";"1111"
"72";"1110125";"1111"
"73";"1110126";"1111"
"74";"1110127";"1111"
"75";"1110128";"1111"
"76";"1110129";"1111"
"77";"1110130";"1111"
"78";"1120101";"1112"
"79";"1120102";"1112"
"80";"1120103";"1112"
"81";"1120104";"1112"
"82";"1120105";"1112"
"83";"1120106";"1112"
"84";"1120107";"1112"
"85";"1120108";"1112"
"86";"1120109";"1112"
"87";"1120110";"1112"
"88";"1120111";"1112"
"89";"1120112";"1112"
"90";"1120113";"1112"
"91";"1120114";"1112"
"92";"1120115";"1112"
"93";"1120116";"1112"
"94";"1120117";"1112"
"95";"1120118";"1112"
"96";"1120119";"1112"
"97";"1120120";"1112"
"98";"1120121";"1112"
"99";"1120122";"1112"
"100";"1120123";"1112"
"101";"1120124";"1112"
"102";"1120125";"1112"
"103";"1120126";"1112"
"104";"1120127";"1112"
"105";"1120128";"1112"
"106";"1120129";"1112"
"107";"1120130";"1112"
"108";"1120131";"1112"
"109";"1120132";"1112"
"110";"1120133";"1112"
"111";"1120134";"1112"
